disk_usage_percent,temperature,read_error_rate,write_error_rate,reallocated_sector_count,pending_sector_count,power_on_hours,label
23,30,48,37,130,97,26210,1
13,59,35,31,108,4,49384,0
99,46,24,1,86,54,15172,0
29,52,23,11,50,196,29064,1
85,30,42,28,83,154,2283,1
10,54,26,10,99,93,21996,1
22,40,43,10,128,96,4256,1
29,37,10,1,57,159,46652,1
32,30,22,25,49,88,13594,1
34,34,2,39,145,197,24644,1
10,37,48,47,116,120,44038,1
85,43,7,31,113,61,8330,0
97,58,44,47,146,132,20510,1
48,68,35,24,65,68,13110,1
96,39,26,25,149,83,32252,1
92,66,0,34,93,6,25796,0
95,68,41,25,168,192,38524,1
69,34,22,3,170,48,6189,0
25,39,10,0,24,76,1275,0
10,44,20,38,5,4,20998,0
99,57,2,47,172,41,18529,0
45,66,5,33,94,25,38158,0
39,50,9,42,147,143,14662,1
34,41,1,2,129,193,7456,1
93,39,21,33,170,23,29570,0
93,69,35,18,149,51,20837,0
50,58,23,24,140,160,41857,1
41,33,18,26,106,74,17688,0
73,51,42,19,113,176,9085,1
25,26,14,29,40,195,43766,1
37,39,7,20,163,56,9041,0
46,54,11,48,29,45,36593,0
43,64,29,4,148,189,38299,1
35,44,16,6,134,30,48159,0
27,28,34,0,196,127,28165,1
86,66,40,47,189,151,38180,1
92,67,14,37,187,178,31375,1
72,29,25,37,125,105,25691,1
45,49,6,9,110,123,32042,1
97,53,7,44,148,195,32856,1
79,40,29,35,70,178,7653,1
77,39,48,40,0,57,31124,1
74,68,48,39,176,99,33006,1
23,40,7,31,104,129,35765,1
14,56,7,44,185,157,8502,1
64,60,2,21,141,161,1805,1
26,59,46,1,108,80,38146,1
80,47,31,32,62,132,32305,1
73,53,13,17,111,79,1624,0
31,54,9,19,26,172,47746,1
86,43,40,46,78,16,21110,0
44,48,47,9,66,78,43331,1
81,37,49,13,150,141,8531,1
72,57,28,9,180,155,29721,1
55,38,2,7,59,141,25081,1
33,32,46,33,108,27,36951,0
78,31,11,34,46,53,43923,0
93,65,23,30,69,95,17872,1
17,69,9,21,24,182,16770,1
92,47,22,18,96,5,29566,0
80,53,41,35,125,29,1822,0
99,61,45,26,11,121,17561,1
29,57,42,33,40,78,19149,1
17,47,44,8,149,156,27553,1
92,66,32,2,185,85,43332,0
91,39,14,15,75,99,11410,1
18,53,38,22,61,72,34033,1
68,41,29,19,104,84,22981,1
77,46,39,2,162,19,43794,0
67,37,33,35,44,185,8487,1
53,38,45,47,55,162,22373,1
48,43,19,30,58,32,7585,0
37,41,25,19,75,40,30203,0
32,28,46,17,89,166,39631,1
54,57,22,28,62,182,32983,1
60,49,20,23,91,44,2027,0
36,39,26,13,26,7,43354,0
33,26,48,28,0,64,45309,1
33,25,31,31,148,124,6069,1
86,60,39,15,22,97,2098,1
10,58,49,14,61,144,36039,1
47,64,6,5,6,160,45833,1
48,30,43,39,110,131,24499,1
30,61,26,44,199,36,23665,0
97,63,31,17,59,13,40428,0
40,26,27,18,35,83,15285,1
22,35,47,9,36,154,5062,1
24,40,33,25,30,3,1913,0
92,61,6,30,190,100,19783,1
58,26,39,34,119,132,49218,1
66,38,23,45,114,153,23080,1
65,47,19,10,74,185,14952,1
59,62,29,25,176,194,45983,1
28,41,9,23,198,74,14120,0
61,27,9,20,98,48,21065,0
14,57,23,5,64,78,34110,0
93,42,8,46,76,182,34424,1
95,46,31,25,66,63,638,0
62,67,38,28,147,77,15974,1
81,39,36,39,106,69,21940,1
71,64,37,4,122,14,8497,0
68,45,9,21,186,103,22187,1
10,55,23,17,186,37,14310,0
92,42,48,23,162,112,24059,1
25,40,0,17,73,71,11037,0
69,33,2,49,96,178,36196,1
36,40,14,20,189,82,2462,0
11,62,31,28,159,78,37491,1
71,43,2,10,195,15,24241,0
90,43,10,2,121,126,6445,1
98,38,22,22,101,131,39615,1
78,30,12,18,139,190,44179,1
30,36,26,43,32,194,38953,1
35,35,18,29,140,118,3822,1
38,68,34,5,104,168,348,1
88,27,9,22,198,191,41756,1
61,51,36,15,71,132,2316,1
14,52,28,49,12,139,19534,1
19,66,12,5,50,7,15388,0
59,64,13,30,78,37,32768,0
16,51,15,5,177,133,36870,1
29,44,30,37,199,197,34882,1
51,55,13,35,92,67,48122,0
42,35,40,9,57,9,31205,0
34,44,17,21,82,180,13500,1
58,36,22,15,1,72,36327,0
99,38,15,23,148,60,1770,0
31,46,7,21,43,67,14370,0
90,61,13,9,43,180,2796,1
38,29,14,47,180,99,34003,1
43,36,45,29,71,142,18713,1
15,63,42,11,183,72,5452,1
96,62,7,41,11,17,18233,0
17,62,25,2,71,60,36814,0
57,40,8,12,82,185,13849,1
19,38,21,3,60,165,29793,1
51,67,31,39,92,170,4492,1
11,33,10,36,128,77,33840,1
98,62,11,45,144,152,49240,1
93,62,39,27,113,120,26772,1
56,62,25,28,90,60,15811,0
23,35,23,32,18,34,35333,0
37,62,25,29,43,131,38003,1
33,32,19,28,20,165,35132,1
61,25,15,27,59,34,29822,0
85,37,30,41,161,126,39407,1
24,27,10,24,16,47,22769,0
59,30,40,35,26,82,39599,1
43,59,42,19,72,97,21319,1
39,35,15,17,65,195,22149,1
20,32,20,36,113,138,10306,1
43,33,17,32,195,182,40924,1
25,56,13,24,11,52,32970,0
98,30,35,32,41,73,6029,1
36,58,15,4,153,48,27554,0
13,53,33,9,20,67,16033,0
67,50,39,10,99,71,5978,0
22,36,18,16,45,59,19372,0
66,40,13,14,107,36,33307,0
94,54,17,28,161,45,45179,0
53,64,0,15,41,191,1114,1
25,28,45,48,164,133,18531,1
17,30,24,49,105,58,39580,1
23,32,10,2,61,78,3368,0
68,59,35,47,117,114,24885,1
84,54,35,28,60,58,31853,1
54,41,40,35,132,77,28393,1
10,36,49,19,106,194,40800,1
28,44,15,23,194,152,3595,1
90,30,0,39,73,8,35127,0
11,28,18,20,185,35,31415,0
79,51,6,48,178,90,42314,1
22,43,18,42,159,96,36427,1
12,46,42,23,93,150,9223,1
75,44,45,41,22,11,15874,0
29,66,0,16,176,155,28314,1
28,39,7,1,95,124,38642,1
54,45,46,28,152,80,34411,1
31,43,39,39,35,163,39881,1
22,29,41,28,155,30,13126,0
93,45,28,43,19,66,14261,1
95,25,3,31,9,66,32510,0
99,32,9,23,62,157,36552,1
11,54,5,8,109,98,40500,0
61,49,38,18,4,57,41888,0
94,38,46,4,182,59,45852,0
42,44,37,11,94,51,39446,0
31,43,38,44,169,135,49324,1
48,52,44,3,51,35,14152,0
67,28,25,34,111,45,23705,0
67,27,44,40,91,168,39418,1
32,40,6,2,30,27,37774,0
77,25,20,7,6,134,49892,1
33,47,2,34,5,1,25732,0
14,40,24,7,176,55,41328,0
11,64,10,3,136,128,1476,1
63,69,39,16,51,30,18672,0
36,38,13,39,77,124,35019,1
59,32,29,48,42,194,28998,1
11,26,4,21,97,178,24827,1
74,38,44,38,110,150,26626,1
38,69,24,41,126,37,49759,0
91,53,41,49,114,67,8121,1
50,61,35,43,87,75,47105,1
28,52,11,39,109,97,28523,1
37,41,5,42,0,3,25264,0
37,64,45,14,100,34,39297,0
57,30,26,43,79,172,31804,1
47,68,43,18,10,128,32770,1
38,66,40,10,101,64,6963,0
77,62,11,18,181,179,33276,1
23,53,35,34,165,176,17748,1
14,36,3,33,197,195,27708,1
23,52,7,28,85,186,38120,1
87,25,30,45,198,49,27855,1
19,54,47,31,177,68,47046,1
60,54,23,7,88,17,40652,0
47,28,0,35,96,68,24926,0
61,59,22,48,112,42,34390,0
88,35,29,31,124,172,44897,1
46,50,44,48,91,14,19778,0
55,26,29,43,103,117,30145,1
16,46,2,8,90,113,47671,1
73,42,3,35,35,56,9520,0
49,49,8,5,192,41,49229,0
72,47,5,27,35,183,38927,1
81,51,33,8,135,174,6146,1
97,52,31,42,141,120,32555,1
42,50,29,17,94,96,5865,1
52,26,14,7,124,30,6851,0
19,34,22,19,133,156,7426,1
99,44,44,31,155,54,29050,1
85,44,12,49,86,73,16034,1
42,31,9,27,181,159,16519,1
65,25,16,2,179,49,33994,0
38,55,14,5,53,47,46836,0
25,52,47,18,194,1,25029,0
61,47,30,5,66,187,46250,1
46,55,48,22,173,188,4966,1
16,30,32,12,181,18,47127,0
42,52,7,22,132,62,44297,0
31,31,21,10,25,99,27619,1
98,66,5,32,77,112,49846,1
61,31,10,2,197,196,34687,1
76,63,1,40,106,127,29113,1
37,49,41,46,66,130,7079,1
95,62,37,32,85,7,6351,0
24,40,1,27,2,150,19324,1
39,48,4,36,193,27,38804,0
41,40,42,39,152,176,17757,1
79,37,44,35,27,188,42585,1
13,59,14,31,174,13,41844,0
89,43,22,44,152,151,49619,1
25,67,41,22,134,86,17483,1
39,40,8,22,148,159,24901,1
56,42,4,26,163,19,8923,0
26,50,18,21,53,23,13541,0
93,50,31,37,191,79,42373,1
40,35,36,21,108,35,12253,0
16,51,14,36,53,61,8039,0
67,39,36,35,138,5,18469,0
96,63,40,13,46,71,19365,1
94,32,18,13,182,79,44102,0
93,37,11,36,116,100,17035,1
28,65,14,39,16,10,24282,0
85,60,49,23,178,43,30871,0
13,58,3,26,174,196,18214,1
23,49,27,23,10,49,44960,0
38,60,11,36,112,148,41126,1
41,34,24,42,107,164,32045,1
39,41,48,29,44,38,37098,0
27,39,6,46,150,57,27436,0
72,41,18,39,128,60,14424,0
86,33,43,22,111,95,12767,1
26,33,17,18,56,91,24385,1
84,36,36,33,43,163,10058,1
64,51,5,4,133,59,37645,0
19,31,43,36,29,192,10508,1
50,66,13,36,170,95,43568,1
31,60,1,26,122,80,23736,0
71,36,3,36,136,78,34617,0
71,45,21,19,4,109,9300,1
76,50,8,32,109,76,43007,0
35,29,4,13,95,137,10711,1
28,45,9,23,191,148,41215,1
50,58,37,44,15,173,12387,1
71,45,43,25,170,165,47138,1
74,57,20,42,109,155,2585,1
82,32,13,47,154,41,43573,0
43,28,1,45,3,120,14309,1
53,31,41,11,63,195,32604,1
80,63,41,47,179,26,45322,0
17,63,42,25,109,195,9369,1
96,27,43,34,72,33,17406,0
41,62,39,48,131,91,49553,1
26,48,22,19,176,49,41337,0
34,28,31,5,1,37,4511,0
59,37,26,46,157,184,28842,1
78,41,1,34,31,93,7803,1
61,52,36,17,117,100,7399,1
86,55,5,14,146,94,17235,0
12,42,12,38,25,108,13286,1
30,50,49,8,189,102,47355,1
35,28,46,19,139,185,19030,1
22,47,24,16,118,130,45922,1
82,55,1,12,92,82,13980,0
34,31,21,6,5,196,12969,1
72,64,0,37,159,188,47719,1
87,45,43,28,60,191,13758,1
92,30,35,48,65,179,39318,1
88,51,40,26,182,196,45793,1
45,46,36,2,2,156,2427,1
86,51,44,41,36,125,31696,1
34,63,43,45,60,26,16743,0
25,29,41,38,156,149,42067,1
25,28,20,8,183,114,30818,1
15,34,29,5,25,2,32061,0
12,35,21,29,31,111,18496,1
69,49,10,12,35,91,9850,0
49,38,19,30,66,133,20139,1
11,46,37,21,169,163,7002,1
50,33,40,31,113,43,32101,0
55,69,48,6,185,123,43120,1
38,29,9,35,71,114,28855,1
19,50,0,41,1,73,44804,0
32,65,31,36,41,99,19216,1
81,35,19,31,58,115,236,1
62,53,17,20,121,172,23018,1
42,64,23,17,4,171,22551,1
95,39,45,4,117,158,49380,1
37,32,6,4,113,160,10019,1
86,49,8,34,100,62,17588,0
91,62,34,10,67,42,20327,0
30,29,40,23,27,167,37477,1
87,36,35,39,108,98,9055,1
14,67,38,12,132,148,34649,1
17,40,12,49,147,170,7804,1
33,52,19,7,75,159,44326,1
34,62,1,15,62,72,7743,0
31,37,31,42,164,109,17977,1
64,49,40,27,74,96,27916,1
38,34,23,8,61,130,29877,1
70,69,10,29,10,105,13702,1
53,53,39,43,104,177,23383,1
57,42,3,12,29,123,29142,1
29,43,23,35,79,110,42007,1
53,53,15,30,145,33,13226,0
38,55,8,49,96,19,45172,0
60,28,21,23,95,135,35555,1
56,54,34,40,137,104,25763,1
69,51,32,7,113,169,14007,1
68,33,17,19,37,159,16352,1
86,51,23,41,56,30,25043,0
47,41,16,33,183,4,40561,0
46,55,18,28,187,156,48990,1
18,61,32,31,105,17,25222,0
46,60,20,41,96,132,22839,1
65,60,10,30,194,131,37759,1
73,45,3,13,81,79,46194,0
44,52,18,31,18,155,33673,1
64,49,22,5,147,192,47701,1
88,25,44,8,109,175,40340,1
69,40,14,19,147,2,22017,0
36,51,9,33,80,79,12311,1
18,46,49,21,138,173,2096,1
17,41,32,15,17,123,2674,1
96,68,32,27,195,67,48913,1
99,63,34,44,137,137,251,1
34,29,35,37,146,32,45830,0
23,27,0,21,50,4,47934,0
84,62,30,47,154,48,43152,1
93,66,21,27,39,75,26816,1
25,59,30,6,15,96,18548,1
62,54,33,14,143,158,28694,1
98,69,16,41,174,96,42521,1
11,25,38,20,163,175,44320,1
86,40,29,12,87,130,13583,1
94,49,21,25,22,113,6657,1
41,61,20,28,74,153,44522,1
24,67,15,0,106,81,30528,0
46,31,38,33,146,27,49360,0
63,56,35,23,70,17,33680,0
25,28,18,11,49,68,36950,0
54,58,30,7,123,134,28434,1
49,63,0,17,198,15,5304,0
12,32,34,34,91,163,23255,1
74,50,20,34,95,121,36202,1
12,37,42,7,73,104,47597,1
36,56,33,37,182,164,21059,1
18,67,6,42,43,101,8095,1
51,36,35,46,91,16,45493,0
55,63,45,43,109,130,7403,1
21,47,12,19,65,158,24546,1
26,37,35,10,182,197,4346,1
91,35,8,46,125,148,11133,1
98,62,46,15,113,125,17987,1
91,49,36,8,58,138,40371,1
14,67,31,33,131,165,46870,1
65,53,6,25,132,119,47098,1
93,51,29,30,46,5,18268,0
14,52,46,5,185,15,803,0
13,60,22,44,29,9,49844,0
99,36,4,37,184,144,24761,1
94,31,9,22,71,57,12207,0
27,39,25,48,147,37,44834,0
57,57,8,17,105,118,46283,1
80,51,15,9,167,102,7050,1
16,36,7,40,179,82,47421,1
74,51,26,44,149,197,343,1
57,49,11,45,9,59,31392,0
60,61,46,18,167,168,821,1
20,57,47,16,141,30,27737,0
65,35,35,39,197,173,49784,1
13,67,5,7,133,123,16566,1
26,29,22,8,72,185,48805,1
66,61,25,42,187,165,8132,1
44,62,13,27,9,195,5177,1
61,57,15,19,85,52,10502,0
33,51,12,6,120,14,5537,0
47,65,35,27,137,61,6298,1
84,38,3,40,19,144,44214,1
36,28,22,31,74,85,40946,1
27,42,3,41,171,34,24028,0
48,53,0,19,190,19,12289,0
65,43,40,40,152,32,12712,0
69,61,30,30,26,43,29508,0
33,38,18,22,63,72,12475,0
13,61,26,47,197,138,30154,1
97,66,7,28,111,147,41820,1
57,57,1,27,65,126,35499,1
21,25,3,21,113,43,47836,0
85,45,16,32,91,15,3596,0
96,60,25,1,180,165,2008,1
46,48,24,23,34,135,19321,1
27,34,40,16,9,100,10076,1
69,42,35,3,139,173,23917,1
39,42,38,9,67,54,9943,0
11,62,2,46,126,21,21876,0
78,48,33,24,13,69,5497,1
66,63,11,20,134,53,23589,0
65,32,24,10,40,153,13941,1
21,55,30,19,194,15,4984,0
69,25,5,13,164,65,5773,0
85,63,44,38,20,140,46404,1
18,26,15,11,144,175,23147,1
33,59,32,38,151,25,26663,0
34,47,39,7,14,189,24325,1
50,38,49,22,42,105,20124,1
56,62,16,33,9,47,37825,0
61,58,44,37,26,129,33072,1
65,66,21,25,75,89,3515,1
86,66,18,24,97,50,36505,0
24,29,25,4,148,9,42087,0
20,65,32,3,59,57,22634,0
92,35,22,42,59,144,18881,1
88,30,0,1,80,106,7509,0
23,57,24,1,151,86,38058,0
96,52,37,25,35,76,43401,1
79,36,15,6,97,112,36249,1
37,30,35,36,15,20,6783,0
20,47,27,44,70,182,5025,1
28,29,10,37,73,81,17397,1
97,66,40,14,119,114,32294,1
78,43,41,6,163,192,11010,1
18,29,46,27,169,166,26841,1
99,59,16,34,174,25,24212,0
24,63,17,35,109,99,35002,1
56,32,26,36,53,65,6770,1
72,58,20,6,136,140,47163,1
92,40,9,38,118,162,10333,1
48,54,32,28,96,132,17207,1
42,53,36,4,130,137,7860,1
68,65,3,32,63,186,16991,1
22,53,47,16,122,38,1608,0
14,42,5,19,159,125,27214,1
28,59,44,38,175,70,17295,1
63,28,44,20,123,84,20897,1
45,43,27,43,177,163,18877,1
38,44,40,0,168,111,48651,1
11,54,8,47,149,42,9518,0
61,62,28,35,13,139,21667,1
81,63,29,2,0,54,49335,0
39,37,19,37,123,86,48150,1
18,57,28,18,63,155,7485,1
36,54,32,41,90,97,30536,1
99,66,26,25,109,176,25695,1
65,37,30,10,195,91,40070,1
88,42,24,12,63,51,44066,0
93,63,45,1,43,31,1636,0
85,54,3,25,179,86,12218,0
78,27,30,8,110,176,22502,1
64,29,30,1,184,172,30208,1
46,49,39,25,118,17,45101,0
42,36,39,28,67,129,34301,1
64,53,45,46,142,132,23567,1
66,50,25,6,191,173,24148,1
26,40,14,42,79,166,18820,1
60,32,13,38,163,154,11231,1
35,69,29,3,140,142,39788,1
83,45,11,20,6,16,13863,0
12,29,5,49,79,182,29280,1
32,67,33,3,8,66,47538,0
80,33,17,22,122,155,8767,1
27,59,36,36,15,80,39293,1
26,32,14,29,194,22,6879,0
96,52,2,45,67,61,5867,0
63,53,24,46,67,166,30577,1
92,28,3,16,88,46,12624,0
87,66,41,21,124,34,49188,0
91,55,25,2,31,194,20075,1
61,41,20,34,167,14,6436,0
77,37,6,1,38,173,30363,1
87,38,41,41,20,118,25400,1
77,49,4,16,47,195,8723,1
80,30,25,32,113,57,3006,0
70,45,17,8,80,69,33162,0
84,52,14,8,20,59,20161,0
17,56,49,14,165,116,19135,1
81,52,15,47,62,23,31215,0
79,34,35,24,26,26,24190,0
96,40,0,26,172,103,44530,1
70,33,1,20,6,60,42542,0
89,51,11,16,173,125,2386,1
71,57,29,6,54,98,49971,1
34,49,17,3,105,16,45895,0
38,44,30,6,19,31,46684,0
82,31,34,31,100,147,43729,1
23,61,11,8,41,126,494,1
89,54,45,39,142,39,39694,1
76,56,48,3,41,47,31119,0
92,38,15,7,4,115,16442,1
72,25,28,45,77,176,23839,1
14,64,4,47,104,43,5085,0
23,57,28,42,158,186,28442,1
72,49,19,48,173,68,34438,1
94,62,37,34,120,90,20433,1
25,52,41,32,163,164,30581,1
35,53,24,25,21,129,13657,1
27,43,37,35,24,48,19873,0
14,63,37,15,154,123,28409,1
17,46,13,8,5,5,32399,0
71,45,13,18,26,188,29846,1
66,62,17,32,136,58,7383,0
73,26,0,38,126,78,3137,0
24,39,8,30,161,19,19843,0
33,40,42,2,48,46,11789,0
25,32,3,25,103,105,22733,1
40,43,6,7,77,103,37662,0
76,28,11,30,18,1,23542,0
14,64,9,13,35,120,9663,1
85,27,18,41,76,125,42958,1
22,47,18,0,158,164,28169,1
87,25,4,32,167,78,18060,0
61,64,19,35,155,109,1080,1
10,41,8,36,193,57,8236,0
62,38,14,20,154,41,14324,0
22,34,45,29,142,166,4507,1
37,67,21,1,76,74,13172,0
47,58,45,23,11,158,20034,1
16,46,3,48,97,14,26319,0
82,58,14,31,114,93,26077,1
43,35,39,6,4,154,8053,1
36,68,1,48,124,80,10591,1
99,45,19,37,102,191,4572,1
59,59,4,6,52,11,33979,0
85,34,46,44,149,147,43966,1
15,39,3,15,132,27,6712,0
99,47,37,11,92,128,14065,1
30,25,32,30,83,173,8217,1
94,27,14,41,40,66,41370,1
89,63,20,35,17,129,42974,1
38,38,29,32,30,131,47052,1
14,45,18,28,181,113,35026,1
96,50,7,10,49,65,21642,0
33,26,12,43,112,54,45635,0
80,42,14,44,112,147,38536,1
63,51,43,12,15,169,43352,1
43,57,27,38,21,25,38635,0
47,55,8,27,58,96,10235,1
34,33,26,49,129,62,40255,1
78,68,32,33,138,10,13529,0
36,62,10,6,111,4,19987,0
35,32,46,48,2,2,40285,0
38,28,26,3,32,16,22104,0
36,64,30,28,11,117,7467,1
13,37,7,12,7,77,23489,0
44,37,3,12,105,8,30145,0
34,48,13,24,127,193,12745,1
78,69,44,21,153,64,28902,1
86,27,25,1,12,33,39731,0
62,44,8,16,59,95,20084,0
60,59,4,49,22,81,3484,1
72,68,49,15,145,133,40666,1
88,43,1,13,150,38,16422,0
76,62,28,9,191,15,38675,0
39,69,28,40,159,185,26274,1
25,38,46,27,110,60,20780,1
91,63,36,12,130,15,28069,0
40,47,29,20,148,102,11635,1
41,29,20,39,69,155,5113,1
84,34,14,27,12,130,14428,1
11,28,9,15,155,97,45550,1
78,37,44,34,97,196,11912,1
17,30,13,26,76,41,23661,0
78,26,40,48,2,158,3851,1
45,64,10,6,179,135,1397,1
39,52,8,35,113,11,2919,0
22,49,12,17,99,94,28407,1
56,63,15,28,155,22,35595,0
85,49,34,15,116,33,42277,0
70,60,20,15,38,179,12748,1
92,60,44,24,73,168,2228,1
41,41,39,42,36,93,37527,1
49,60,16,29,123,2,8929,0
75,43,24,33,33,156,1185,1
42,38,24,27,97,119,8017,1
84,51,19,26,189,23,35739,0
18,47,20,22,95,182,25820,1
91,55,3,34,7,28,40194,0
98,25,44,29,90,180,16362,1
58,27,26,40,130,124,7143,1
88,53,32,25,125,158,31898,1
22,60,16,24,159,190,31711,1
32,55,19,17,120,20,14658,0
38,62,4,6,181,65,47590,0
80,34,6,9,51,127,30647,1
14,35,42,16,88,42,13673,0
98,35,4,17,144,29,35899,0
42,37,41,49,13,5,10092,0
70,25,42,48,126,171,44550,1
79,38,8,35,79,88,21497,1
66,30,32,19,95,94,3099,1
39,37,36,15,103,148,28965,1
64,35,37,7,12,133,30260,1
22,57,34,32,23,84,13163,1
70,58,36,12,81,69,9692,0
70,56,15,46,127,102,42475,1
75,49,42,0,170,5,11831,0
98,29,46,14,174,92,7452,1
48,40,35,2,54,197,33382,1
18,56,40,44,133,129,19875,1
65,49,34,20,98,75,38482,1
34,35,13,15,115,168,26872,1
49,44,40,0,80,150,8044,1
34,50,10,34,121,172,6919,1
99,64,35,27,146,80,14055,1
62,56,49,48,95,38,49471,1
71,37,34,34,60,118,7540,1
15,34,6,31,65,94,27197,1
71,47,27,16,11,181,37055,1
73,48,9,44,101,27,31907,0
65,52,21,46,80,129,16318,1
44,44,47,29,102,112,4536,1
91,49,15,22,93,160,19036,1
58,31,49,28,114,36,26913,0
36,39,47,27,199,159,42053,1
62,38,31,34,80,191,28338,1
89,46,25,30,2,20,40483,0
90,45,27,41,125,128,32270,1
66,31,41,26,12,18,32733,0
58,31,5,44,122,67,40397,0
66,67,22,11,72,91,13497,1
70,25,31,25,9,57,13824,0
60,64,41,13,128,154,46178,1
14,26,43,11,136,47,26543,0
42,69,8,20,79,143,11948,1
91,51,21,48,41,83,21438,1
72,43,26,38,101,48,35066,0
64,39,6,22,84,192,36822,1
80,60,35,15,86,133,13226,1
93,34,10,18,120,190,3915,1
46,50,14,30,142,181,3289,1
46,35,39,12,127,22,1422,0
36,49,45,41,171,44,39830,1
47,34,18,0,102,58,39782,0
30,44,8,14,14,158,35701,1
36,47,5,45,140,146,27355,1
74,34,4,48,123,65,11587,0
54,56,19,16,24,127,25918,1
75,40,12,27,12,78,15519,0
80,36,2,38,76,119,23991,1
29,58,20,13,7,107,48358,1
34,62,36,17,127,39,25722,0
36,31,9,5,30,194,36334,1
92,37,42,36,0,109,32389,1
69,45,10,42,162,17,7781,0
90,44,32,44,176,20,11880,0
10,55,4,10,136,114,30725,1
68,57,39,34,52,85,45651,1
37,50,34,44,39,119,1988,1
47,56,21,7,94,162,17032,1
47,35,48,45,96,93,10937,1
94,38,16,5,199,35,49931,0
34,66,34,4,2,126,6935,1
37,28,18,13,123,43,21700,0
24,29,43,36,100,175,44342,1
93,47,21,17,74,6,13539,0
26,40,24,43,124,40,28982,0
49,51,24,34,67,94,3898,1
81,64,2,43,104,153,12357,1
46,53,24,6,198,54,16987,0
77,38,20,28,24,97,20648,1
68,32,5,28,164,20,3350,0
76,28,39,6,197,27,31506,0
